operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,16,32,2048,256,0.015564799308776855,3.25,536870912,157.53846153846155
gemm,16,32,2048,512,0.02232320010662079,4.5,1073741824,227.55555555555554
gemm,16,32,2048,1024,0.032153600454330446,7.0,2147483648,292.57142857142856
gemm,16,32,2048,2048,0.058982402086257935,12.0,4294967296,341.3333333333333
gemm,16,64,128,128,0.011673600226640702,0.53125,33554432,60.23529411764706
gemm,16,64,128,256,0.011878400295972823,0.8125,67108864,78.76923076923077
gemm,16,64,128,512,0.030924800038337707,1.375,134217728,93.0909090909091
gemm,16,64,128,1024,0.01085439994931221,2.5,268435456,102.4
gemm,16,64,128,2048,0.013926400244235993,4.75,536870912,107.78947368421052
gemm,16,64,256,128,0.010444799810647965,0.8125,67108864,78.76923076923077
gemm,16,64,256,256,0.010444799810647965,1.125,134217728,113.77777777777777
gemm,16,64,256,512,0.02969599962234497,1.75,268435456,146.28571428571428
gemm,16,64,256,1024,0.012902399897575379,3.0,536870912,170.66666666666666
gemm,16,64,256,2048,0.020684799551963805,5.5,1073741824,186.1818181818182
gemm,16,64,512,128,0.011878400295972823,1.375,134217728,93.0909090909091
gemm,16,64,512,256,0.029900801181793214,1.75,268435456,146.28571428571428
gemm,16,64,512,512,0.012492799758911132,2.5,536870912,204.8
gemm,16,64,512,1024,0.019251200556755065,4.0,1073741824,256.0
gemm,16,64,512,2048,0.033792001008987424,7.0,2147483648,292.57142857142856
gemm,16,64,1024,128,0.012083200365304947,2.5,268435456,102.4
gemm,16,64,1024,256,0.012697599828243256,3.0,536870912,170.66666666666666
gemm,16,64,1024,512,0.23941121101379395,4.0,1073741824,256.0
gemm,16,64,1024,1024,0.032153600454330446,6.0,2147483648,341.3333333333333
gemm,16,64,1024,2048,0.10240000486373901,10.0,4294967296,409.6
gemm,16,64,2048,128,0.01884160041809082,4.75,536870912,107.78947368421052
gemm,16,64,2048,256,0.02232320010662079,5.5,1073741824,186.1818181818182
gemm,16,64,2048,512,0.032153600454330446,7.0,2147483648,292.57142857142856
gemm,16,64,2048,1024,0.08253440260887146,10.0,4294967296,409.6
gemm,16,64,2048,2048,0.08929280042648316,16.0,8589934592,512.0
gemm,16,128,128,128,0.012083200365304947,1.03125,67108864,62.06060606060606
gemm,16,128,128,256,0.03133440017700195,1.5625,134217728,81.92
gemm,16,128,128,512,0.01454080045223236,2.625,268435456,97.52380952380952
gemm,16,128,128,1024,0.013926400244235993,4.75,536870912,107.78947368421052
gemm,16,128,128,2048,0.040755200386047366,9.0,1073741824,113.77777777777777
gemm,16,128,256,128,0.030924800038337707,1.5625,134217728,81.92
gemm,16,128,256,256,0.011264000087976456,2.125,268435456,120.47058823529412
gemm,16,128,256,512,0.012697599828243256,3.25,536870912,157.53846153846155
gemm,16,128,256,1024,0.020479999482631683,5.5,1073741824,186.1818181818182
gemm,16,128,256,2048,0.048742398619651794,10.0,2147483648,204.8
gemm,16,128,512,128,0.010649599879980088,2.625,268435456,97.52380952380952
gemm,16,128,512,256,0.028467199206352232,3.25,536870912,157.53846153846155
gemm,16,128,512,512,0.01945600062608719,4.5,1073741824,227.55555555555554
gemm,16,128,512,1024,0.03358719944953918,7.0,2147483648,292.57142857142856
gemm,16,128,512,2048,0.047513601183891294,12.0,4294967296,341.3333333333333
gemm,16,128,1024,128,0.012697599828243256,4.75,536870912,107.78947368421052
gemm,16,128,1024,256,0.034201601147651674,5.5,1073741824,186.1818181818182
gemm,16,128,1024,512,0.032358399033546446,7.0,2147483648,292.57142857142856
gemm,16,128,1024,1024,0.08273919820785522,10.0,4294967296,409.6
gemm,16,128,1024,2048,0.08704000115394592,16.0,8589934592,512.0
gemm,16,128,2048,128,0.022732800245285033,9.0,1073741824,113.77777777777777
gemm,16,128,2048,256,0.047513601183891294,10.0,2147483648,204.8
gemm,16,128,2048,512,0.05877760052680969,12.0,4294967296,341.3333333333333
gemm,16,128,2048,1024,0.08888319730758668,16.0,8589934592,512.0
gemm,16,128,2048,2048,0.1652735948562622,24.0,17179869184,682.6666666666666
gemm,16,256,128,128,0.010444799810647965,2.03125,134217728,63.01538461538462
gemm,16,256,128,256,0.011673600226640702,3.0625,268435456,83.59183673469387
gemm,16,256,128,512,0.01372160017490387,5.125,536870912,99.90243902439025
gemm,16,256,128,1024,0.03706879913806915,9.25,1073741824,110.70270270270271
gemm,16,256,128,2048,0.040550398826599124,17.5,2147483648,117.02857142857142
gemm,16,256,256,128,0.02682879865169525,3.0625,268435456,83.59183673469387
gemm,16,256,256,256,0.012902399897575379,4.125,536870912,124.12121212121212
gemm,16,256,256,512,0.020684799551963805,6.25,1073741824,163.84
gemm,16,256,256,1024,0.04710400104522705,10.5,2147483648,195.04761904761904
gemm,16,256,256,2048,0.05775359869003296,19.0,4294967296,215.57894736842104
gemm,16,256,512,128,0.02969599962234497,5.125,536870912,99.90243902439025
gemm,16,256,512,256,0.01945600062608719,6.25,1073741824,163.84
gemm,16,256,512,512,0.054681599140167236,8.5,2147483648,240.94117647058823
gemm,16,256,512,1024,0.047513601183891294,13.0,4294967296,315.0769230769231
gemm,16,256,512,2048,0.0899071991443634,22.0,8589934592,372.3636363636364
gemm,16,256,1024,128,0.03543039858341217,9.25,1073741824,110.70270270270271
gemm,16,256,1024,256,0.052223998308181765,10.5,2147483648,195.04761904761904
gemm,16,256,1024,512,0.05058559775352478,13.0,4294967296,315.0769230769231
gemm,16,256,1024,1024,0.08724480271339416,18.0,8589934592,455.1111111111111
gemm,16,256,1024,2048,0.17141760587692262,28.0,17179869184,585.1428571428571
gemm,16,256,2048,128,0.04505600035190582,17.5,2147483648,117.02857142857142
gemm,16,256,2048,256,0.05877760052680969,19.0,4294967296,215.57894736842104
gemm,16,256,2048,512,0.08908799886703492,22.0,8589934592,372.3636363636364
gemm,16,256,2048,1024,0.17018879652023317,28.0,17179869184,585.1428571428571
gemm,16,256,2048,2048,0.3280895948410034,40.0,34359738368,819.2
gemm,16,512,128,128,0.01085439994931221,4.03125,268435456,63.50387596899225
gemm,16,512,128,256,0.014534400403499603,6.0625,536870912,84.45360824742268
gemm,16,512,128,512,0.21299200057983397,10.125,1073741824,101.1358024691358
gemm,16,512,128,1024,0.03993600010871887,18.25,2147483648,112.21917808219177
gemm,16,512,128,2048,0.06124160289764404,34.5,4294967296,118.72463768115942
gemm,16,512,256,128,0.013107199966907502,6.0625,536870912,84.45360824742268
gemm,16,512,256,256,0.04177919924259186,8.125,1073741824,126.03076923076924
gemm,16,512,256,512,0.027647998929023743,12.25,2147483648,167.18367346938774
gemm,16,512,256,1024,0.056524801254272464,20.5,4294967296,199.8048780487805
gemm,16,512,256,2048,0.09277439713478089,37.0,8589934592,221.40540540540542
gemm,16,512,512,128,0.03973119854927063,10.125,1073741824,101.1358024691358
